# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR       RSMA     MAG MAG_LERR MAG_UERR      TFLUX_E      TFLUX_C  TMAG_E  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
   19   12.16       1.67     0.0083    0.0902    0.0638 0.3846    0.0091  -84.13    0.86  441.00   0.09  297.00   0.06  -0.0941   0.0087     0.0926    1.86745  -0.557  0.00541  0.00538        697.4        951.7   -7.11   -7.45    287    465    -0.016 0.00683     0.017 0.00683    0.0118 0.00646   0.00833 0.00641    59     0     1     0     INDEF   2.0
   20   13.38       1.56    0.00658    0.0751    0.0531 0.3846    0.0088  -84.13    0.83  441.00   0.09  297.00   0.06  -0.0769   0.0071     0.0923    1.91248   -0.48   0.0046  0.00458       795.68       1082.4   -7.25   -7.59    349    561  -0.00392 0.00665    0.0201 0.00687    0.0107 0.00647  -0.00891 0.00644    65     0     1     0     INDEF   2.0
   21   14.72       1.45    0.00685    0.0816    0.0577 0.3846    0.0093  -84.13    0.87  441.00   0.11  297.00   0.07  -0.0641   0.0066      0.103    1.95860  -0.406  0.00512   0.0051       904.15       1223.9   -7.39   -7.72    421    673   0.00141 0.00735   -0.0106 0.00744   0.00472 0.00656   -0.0271 0.00715    71     0     1     0     INDEF   2.0
   22   16.19       1.36    0.00691    0.0863     0.061 0.3846    0.0119  -84.13    1.12  441.00   0.15  297.00   0.10  -0.0508   0.0059      0.117    2.00583  -0.333  0.00553  0.00551       1025.6       1405.7   -7.53   -7.87    507    829   0.00509 0.00905   -0.0284 0.00965  -0.00422 0.00832   -0.0303 0.00908    78     0     1     0     INDEF   2.0
   23   17.81       1.28    0.00663     0.087    0.0615 0.3846    0.0133  -84.13    1.25  441.00   0.18  297.00   0.13  -0.0423    0.005      0.118    2.05419  -0.266  0.00565  0.00562       1157.7       1584.2   -7.66     -8.    607    997  -0.00793 0.00962   -0.0446  0.0109    0.0076 0.00919   -0.0244 0.00963    86     0     1     0     INDEF   2.0
   24   19.59        1.2    0.00596    0.0821    0.0581 0.3846    0.0121  -84.13    1.13  441.00   0.18  297.00   0.13  -0.0401    0.004     0.0997    2.10373    -0.2  0.00539  0.00537       1326.4       1784.1   -7.81   -8.13    743   1201    -0.033 0.00926   -0.0291 0.00911  -0.00412 0.00858  -0.00948 0.00863    95     0     1     0     INDEF   2.0
   25   21.55       1.12    0.00507    0.0731    0.0517 0.3846    0.0090  -84.13    0.84  441.00   0.15  297.00   0.10  -0.0448   0.0045      0.101    2.15446  -0.126  0.00491  0.00489       1512.7       2023.9   -7.95   -8.27    903   1465   -0.0289  0.0072   -0.0128 0.00672  -0.00688 0.00652   0.00772 0.00657   104     0     1     0     INDEF   2.0
   26   23.70       1.03    0.00502    0.0757    0.0536 0.3846    0.0091  -84.13    0.85  441.00   0.17  297.00   0.12  -0.0355   0.0046       0.13    2.20641 -0.0291  0.00532  0.00529       1706.5        2274.   -8.08   -8.39   1083   1757  -0.00802 0.00735  -0.00693 0.00737    0.0253 0.00709     0.029 0.00737   114     0     1     0     INDEF   2.0
   27   26.07       0.94    0.00641     0.102     0.072 0.3846    0.0105  -84.13    0.98  441.00   0.21  297.00   0.15  -0.0285   0.0049      0.173    2.25961  0.0667  0.00743  0.00738       1934.7       2575.5   -8.22   -8.53   1315   2129   -0.0312 0.00941   -0.0242 0.00878    0.0294 0.00832    0.0331 0.00874   126     0     1     0     INDEF   2.0
   28   28.68      0.866    0.00736     0.122    0.0865 0.3846    0.0137  -84.13    1.27  441.00   0.30  297.00   0.21  -0.0206   0.0036      0.177    2.31410   0.156  0.00927  0.00919       2184.1       2923.5   -8.35   -8.66   1589   2593   -0.0313  0.0118   -0.0317  0.0118    0.0035 0.00842    0.0708  0.0151   138     0     1     0     INDEF   2.0
   29   31.54      0.807    0.00742     0.129    0.0915 0.3846    0.0193  -84.13    1.80  441.00   0.47  297.00   0.33  -0.0143   0.0033      0.228    2.36990   0.233     0.01  0.00994       2471.2       3288.4   -8.48   -8.79   1929   3125  -0.00839  0.0154   -0.0405  0.0179   -0.0365  0.0151    0.0972  0.0255   152     0     1     0     INDEF   2.0
   30   34.70      0.762    0.00713     0.131    0.0925 0.3846    0.0209  -84.13    1.96  441.00   0.56  297.00   0.39  -0.0117   0.0029      0.248    2.42705   0.295   0.0102   0.0101       2790.2       3703.5   -8.61   -8.92   2333   3777    0.0335  0.0183   -0.0537   0.021    -0.091  0.0266    0.0548  0.0196   168     0     1     0     INDEF   2.0
   31   38.17      0.721    0.00711     0.136    0.0964 0.3846    0.0163  -84.13    1.53  441.00   0.48  297.00   0.34  -0.0134   0.0029      0.215    2.48558   0.355   0.0108   0.0106       3148.7       4191.1   -8.75   -9.06   2813   4577    0.0543  0.0172   -0.0128  0.0129   -0.0664  0.0184    0.0144   0.012   184     0     1     0     INDEF   2.0
   32   41.99       0.67    0.00844      0.17      0.12 0.3846    0.0184  -84.13    1.73  441.00   0.60  297.00   0.42  -0.0131   0.0029      0.219    2.54551   0.435   0.0138   0.0136       3561.1        4718.   -8.88   -9.18   3403   5521    0.0399  0.0162    0.0784   0.022   -0.0879  0.0228   0.00318  0.0122   203     0     1     0     INDEF   2.0
   33   46.18      0.615    0.00863     0.182     0.129 0.3846    0.0185  -84.13    1.74  441.00   0.66  297.00   0.46   -0.011   0.0028      0.249    2.60689   0.528   0.0154   0.0151       4026.4       5321.7   -9.01   -9.32   4125   6721     -0.02  0.0147     0.086  0.0255   -0.0978  0.0272   -0.0277  0.0139   223     0     1     0     INDEF   2.0
   34   50.80      0.564    0.00933     0.207     0.146 0.3846    0.0222  -84.13    2.09  441.00   0.87  297.00   0.61 -0.00719   0.0035      0.487    2.66976   0.622   0.0181   0.0178       4539.4       5910.9   -9.14   -9.43   4995   8093    -0.129  0.0643     0.111  0.0558   -0.0727  0.0378    -0.056  0.0303   246     0     1     0     INDEF   2.0
   35   55.88      0.531     0.0101     0.234     0.165 0.3846    0.0115  -84.13    1.08  441.00   0.50  297.00   0.35   -0.015   0.0023      0.153    2.73413   0.688   0.0208   0.0204       5119.6       6531.2   -9.27   -9.54   6037   9785   -0.0753  0.0139    0.0393 0.00988   -0.0042 0.00784  -0.00125 0.00785   270     0     1     0     INDEF   2.0
   36   61.47      0.446    0.00503     0.123    0.0869 0.3846    0.0082  -84.13    0.77  441.00   0.39  297.00   0.27  -0.0114   0.0011     0.0943    2.80006   0.878   0.0123   0.0122        5742.       7177.7    -9.4   -9.64   7307  11881   -0.0508 0.00766    0.0147 0.00613   0.00196 0.00571    0.0301 0.00638   298     0     1     0     INDEF   2.0
   37   67.62      0.375    0.00433     0.111    0.0783 0.3846    0.0126  -84.13    1.18  441.00   0.66  297.00   0.46 -0.00685   0.0021      0.306    2.86758    1.06   0.0126   0.0125       6365.1       7787.7   -9.51   -9.73   8827  14361   -0.0388  0.0155   -0.0212  0.0119     0.049  0.0177    0.0317  0.0136   327     0     1     0     INDEF   2.0
   38   74.38      0.322    0.00762     0.204     0.145 0.3846    0.0255  -84.13    2.39  441.00   1.47  297.00   1.02 -0.00663   0.0013      0.196    2.93673    1.23    0.026   0.0254       7009.3       8407.3   -9.61   -9.81  10707  17401    0.0148  0.0205   -0.0865  0.0265  -0.00229  0.0195     0.105  0.0285   360     0     1     0     INDEF   2.0
   39   81.82      0.271    0.00408     0.115    0.0812 0.3846    0.0225  -84.13    2.11  441.00   1.42  297.00   0.99 -0.00346   6.4E-4      0.185    3.00755    1.42   0.0165   0.0162       7677.5       9026.3   -9.71   -9.89  12945  21001   0.00877  0.0179   -0.0923  0.0246   -0.0715   0.021     0.119  0.0274   396     0     1     0     INDEF   2.0
   40   90.00      0.243    0.00328    0.0969    0.0685 0.3846    0.0013  -84.13    0.12  441.00   0.09  297.00   0.06    -0.04    INDEF      INDEF    3.08007    1.54   0.0148   0.0146       8381.3        9636.   -9.81   -9.96  15653  25445   0.00449 0.00373  -3.61E-4 0.00104  -0.00238 0.00212   0.00678  0.0055   435     0     1     0     INDEF   2.0
   41   99.00      0.197    0.00289    0.0893    0.0632 0.3846    0.0012  -84.13    0.11  441.00   0.09  297.00   0.06   -0.032    INDEF      INDEF    3.15434    1.76    0.016   0.0158       9121.9       10251.    -9.9    -10.  18953  30757  -0.00218 0.00199   -0.0014 0.00148  -0.00266 0.00231   0.00682 0.00553   479     0     1     0     INDEF   2.0
   42  108.90      0.139    0.00183    0.0593     0.042 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF  -0.0256    INDEF      INDEF    3.23041    2.15   0.0144   0.0142       9791.5       10831.   -9.98   -10.1  22927  37229  -0.00185 0.00174   7.52E-4  0.0011  -4.30E-4 9.73E-4   0.00357   0.003   527     0     1     4     INDEF   2.0
   43  119.79     0.0988    0.00164     0.056    0.0396 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF  -0.0205    INDEF      INDEF    3.30830    2.51   0.0182   0.0179       10375.       11308.    -10.   -10.1  27735  45053  -0.00228 0.00205   0.00271 0.00236   9.57E-4 0.00119   0.00446 0.00368   579     0     1     4     INDEF   2.0
   44  131.77     0.0715    0.00108    0.0384    0.0272 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF  -0.0164    INDEF      INDEF    3.38808    2.86   0.0165   0.0162       10873.       11730.   -10.1   -10.2  33559  54553  -0.00353 0.00291  -4.12E-4 7.66E-4   4.03E-4 7.51E-4    0.0032 0.00265   637     0     1     4     INDEF   2.0
   45  144.95     0.0596    8.65E-4    0.0324    0.0229 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF  -0.0131    INDEF      INDEF    3.46978    3.06   0.0159   0.0157       11344.       12121.   -10.1   -10.2  40599  65985  -0.00149 0.00135   5.73E-4 7.89E-4   6.02E-4 7.96E-4   0.00246 0.00206   701     0     1     4     INDEF   2.0
   46  159.44     0.0513    0.00112    0.0442    0.0312 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF  -0.0105    INDEF      INDEF    3.55345    3.22   0.0241   0.0235       11854.       12507.   -10.2   -10.2  49131  79877    0.0044 0.00364   0.00503 0.00413  -0.00135 0.00142   0.00288 0.00248   771     0     1     4     INDEF   2.0
   47  175.38      0.036    8.08E-4    0.0333    0.0235 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF -0.00839    INDEF      INDEF    3.63913    3.61   0.0246   0.0241       12320.       12863.   -10.2   -10.3  59463  96637   0.00292 0.00245   0.00336  0.0028   0.00101  0.0011   0.00435 0.00356   848     0     1     4     INDEF   2.0
   48  192.92     0.0235    7.09E-4    0.0306    0.0217 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF -0.00671    INDEF      INDEF    3.72689    4.07   0.0332   0.0322       12726.       13196.   -10.3   -10.3  71947 116897   0.00121 0.00124   5.63E-4 8.96E-4  -0.00133  0.0013   0.00562 0.00456   933     0     1     4     INDEF   2.0
   49  212.22     0.0183    6.84E-4     0.031    0.0219 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF -0.00537    INDEF      INDEF    3.81675    4.35   0.0414   0.0399       13101.       13902.   -10.3   -10.4  87083 141497   0.00116 0.00126   9.66E-4 0.00115  -0.00483 0.00395   0.00354 0.00295  1026     0     1     4     INDEF   2.0
   50  233.44     0.0137    5.63E-4    0.0268    0.0189 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF -0.00429    INDEF      INDEF    3.90879    4.66   0.0457   0.0438       13412.       14823.   -10.3   -10.4 105353 171209  -7.58E-4 9.97E-4   0.00272 0.00231  -0.00249 0.00214   0.00618   0.005  1129     0     1     4     INDEF   2.0
   51  256.78    0.00893    5.29E-4    0.0263    0.0186 0.3846     INDEF  -84.13   INDEF  441.00  INDEF  297.00  INDEF -0.00344    INDEF      INDEF    4.00305    5.12   0.0663   0.0625       13688.       15049.   -10.3   -10.4 127473 207141  -0.00101 0.00117    0.0019 0.00174  -0.00265 0.00228   0.00181 0.00168  1241     0     1     4     INDEF   2.0
